Line 1: 1790,1457 -> OK
Line 877: 62,584 -> OK
Line 878: 1794,1295 -> OK
Line 879: 910,779 -> OK
Line 880: 1790,1004 -> OK
Line 881: 910,754 -> OK
Line 882: 1788,953 -> OK
Line 883: 856,556 -> OK
Line 884: 86,439 -> OK
Line 885: 682,587 -> OK
Line 886: 62,783 -> OK
Line 887: 628,431 -> OK
Line 888: 910,950 -> OK
Line 889: 1800,610 -> OK
Line 890: 1540,1443 -> OK
Line 891: 96,428 -> OK
Line 892: 628,829 -> OK
Line 893: 682,711 -> OK
Line 894: 74,408 -> OK
Line 895: 1776,1041 -> OK
Line 896: 102,606 -> OK
Line 897: 1772,890 -> OK
Line 898: 1784,1123 -> OK
Line 899: 1806,1283 -> OK
Line 900: 1794,1462 -> OK
Line 901: 1594,1061 -> OK
Line 902: 98,520 -> OK
Line 903: 1806,1282 -> OK
Line 904: 856,928 -> OK
Line 905: 1800,940 -> OK
Line 906: 1814,1272 -> OK
Line 907: 1812,949 -> OK
Line 908: 1772,1447 -> OK
Line 909: 1782,650 -> OK
Line 910: 108,445 -> OK
Line 911: 682,588 -> OK
Line 912: 970,579 -> OK
Line 913: 66,407 -> OK
Line 914: 1772,1282 -> OK
Line 915: 1814,1375 -> OK
Line 916: 102,467 -> OK
Line 917: 96,425 -> OK
Line 918: 68,441 -> OK
Line 919: 1800,1338 -> OK
Line 920: 568,765 -> OK
Line 921: 1812,1286 -> OK
Line 922: 340,443 -> OK
Line 923: 1802,1435 -> OK
Line 924: 1812,1216 -> OK
Line 925: 1790,1264 -> OK
Line 926: 80,805 -> OK
Line 927: 1312,1101 -> OK
Line 928: 1806,1065 -> OK
Line 929: 568,463 -> OK
Line 930: 1806,580 -> OK
Line 931: 62,711 -> OK
Line 932: 1818,1240 -> OK
Line 933: 1794,1434 -> OK
Line 934: 1252,1455 -> OK
Line 935: 1794,1124 -> OK
Line 936: 1806,945 -> OK
Line 937: 104,595 -> OK
Line 938: 1784,1290 -> OK
Line 939: 1814,1411 -> OK
Line 940: 96,487 -> OK
Line 941: 1806,1379 -> OK
Line 942: 286,499 -> OK
Line 943: 102,433 -> OK
Line 944: 104,1458 -> OK
Line 945: 104,1093 -> OK
Line 946: 1802,1278 -> OK
Line 947: 910,424 -> OK
Line 948: 72,441 -> OK
Line 949: 1796,942 -> OK
Line 950: 568,711 -> OK
Line 951: 970,520 -> OK
Line 952: 84,544 -> OK
Line 953: 66,594 -> OK
Line 954: 1776,1284 -> OK
Line 955: 104,1318 -> OK
Line 956: 1772,1104 -> OK
Line 957: 1818,1454 -> OK
Line 958: 96,833 -> OK
Line 959: 1024,528 -> OK
Line 960: 1818,1275 -> OK
Line 961: 1800,1407 -> OK
Line 962: 98,715 -> OK
Line 963: 72,1128 -> OK
Line 964: 68,612 -> OK
Line 965: 98,944 -> OK
Line 966: 1594,1294 -> OK
Line 967: 568,487 -> OK
Line 968: 1772,1399 -> OK
Line 969: 1806,817 -> OK
Line 970: 1800,1129 -> OK
Line 971: 62,540 -> OK
Line 972: 1198,757 -> OK
Line 973: 910,980 -> OK
Line 974: 1814,1121 -> OK
Line 975: 628,898 -> OK
Line 976: 1366,1296 -> OK
Line 977: 62,755 -> OK
Line 978: 514,412 -> OK
Line 979: 1024,634 -> OK
Line 980: 1802,1275 -> OK
Line 981: 1198,1465 -> OK
Line 982: 1818,1467 -> OK
Line 983: 340,583 -> OK
Line 984: 1198,1439 -> OK
Line 985: 1198,837 -> OK
Line 986: 102,703 -> OK
Line 987: 1782,1387 -> OK
Line 988: 80,443 -> OK
Line 989: 970,778 -> OK
Line 990: 1024,1288 -> OK
Line 991: 1366,1399 -> OK
Line 992: 1790,1104 -> OK
Line 993: 514,444 -> OK
Line 994: 340,1278 -> OK
Line 995: 66,599 -> OK
Line 996: 86,1274 -> OK
Line 997: 92,413 -> OK
Line 998: 86,417 -> OK
Line 999: 286,924 -> OK
Line 1000: 78,443 -> OK
Line 1001: 910,1441 -> OK
Line 1002: 340,695 -> OK
Line 1003: 1778,1350 -> OK
Line 1004: 1796,1441 -> OK
Line 1005: 1594,1391 -> OK
Line 1006: 1198,1155 -> OK
Line 1007: 102,1125 -> OK
Line 1008: 1808,949 -> OK
Line 1009: 104,763 -> OK
Line 1010: 1772,594 -> OK
Line 1011: 92,1463 -> OK
Line 1012: 72,536 -> OK
Line 1013: 98,755 -> OK
Line 1014: 1812,1282 -> OK
Line 1015: 856,552 -> OK
Line 1016: 1800,1465 -> OK
Line 1017: 1788,1270 -> OK
Line 1018: 78,544 -> OK
Line 1019: 1366,1299 -> OK
Line 1020: 98,1129 -> OK
Line 1021: 1808,1342 -> OK
Line 1022: 1790,1434 -> OK
Line 1023: 68,695 -> OK
Line 1024: 1818,1459 -> OK
Line 1025: 92,416 -> OK
Line 1026: 856,782 -> OK
Line 1027: 682,775 -> OK
Line 1028: 568,829 -> OK
Line 1029: 66,759 -> OK
Line 1030: 1366,1437 -> OK
Line 1031: 1782,1216 -> OK
Line 1032: 66,761 -> OK
Line 1033: 1784,1326 -> OK
Line 1034: 1802,1435 -> OK
Line 1035: 970,924 -> OK
Line 1036: 1802,1278 -> OK
Line 1037: 856,758 -> OK
Line 1038: 1366,1128 -> OK
Line 1039: 1778,1298 -> OK
Line 1040: 1024,1439 -> OK
Line 1041: 72,1220 -> OK
Line 1042: 62,654 -> OK
Line 1043: 72,598 -> OK
Line 1044: 1814,1299 -> OK
Line 1045: 1812,1171 -> OK
Line 1046: 102,930 -> OK
Line 1047: 1366,1407 -> OK
Line 1048: 1252,953 -> OK
Line 1049: 856,749 -> OK
Line 1050: 78,670 -> OK
Line 1051: 108,1299 -> OK
Line 1052: 340,642 -> OK
Line 1053: 104,1123 -> OK
Line 1054: 628,503 -> OK
Line 1055: 1782,1471 -> OK
Line 1056: 1814,1121 -> OK
Line 1057: 72,762 -> OK
Line 1058: 68,770 -> OK
Line 1059: 102,594 -> OK
Line 1060: 1024,582 -> OK
Line 1061: 1252,1204 -> OK
Line 1062: 1776,441 -> OK
Line 1063: 628,1469 -> OK
Line 1064: 1788,1263 -> OK
Line 1065: 86,409 -> OK
Line 1066: 514,1375 -> OK
Line 1067: 910,924 -> OK
Line 1068: 96,1115 -> OK
Line 1069: 1814,1271 -> OK
Line 1070: 96,1208 -> OK
Line 1071: 970,936 -> OK
Line 1072: 1594,1326 -> OK
Line 1073: 66,658 -> OK
Line 1074: 1814,1283 -> OK
Line 1075: 90,1091 -> OK
Line 1076: 72,420 -> OK
Line 1077: 108,436 -> OK
Line 1078: 514,421 -> OK
Line 1079: 108,433 -> OK
Line 1080: 1784,1435 -> OK
Line 1081: 1782,1288 -> OK
Line 1082: 80,1338 -> OK
Line 1083: 1808,1450 -> OK
Line 1084: 86,783 -> OK
Line 1085: 108,1462 -> OK
Line 1086: 86,723 -> OK
Line 1087: 1252,759 -> OK
Line 1088: 72,599 -> OK
Line 1089: 74,666 -> OK
Line 1090: 104,1204 -> OK
Line 1091: 102,699 -> OK
Line 1092: 1540,1298 -> OK
Line 1093: 1776,936 -> OK
Line 1094: 1796,1290 -> OK
Line 1095: 1252,1179 -> OK
Line 1096: 78,953 -> OK
Line 1097: 1790,1354 -> OK
Line 1098: 62,556 -> OK
Line 1099: 514,412 -> OK
Line 1100: 90,654 -> OK
Line 1101: 514,445 -> OK
Line 1102: 1024,1171 -> OK
Line 1103: 682,1415 -> OK
Line 1104: 90,750 -> OK
Line 1105: 104,934 -> OK
Line 1106: 1540,1275 -> OK
Line 1107: 1812,1111 -> OK
Line 1108: 84,420 -> OK
Line 1109: 1772,1272 -> OK
Line 1110: 80,520 -> OK
Line 1111: 628,761 -> OK
Line 1112: 1782,1263 -> OK
Line 1113: 1784,956 -> OK
Line 1114: 1814,1284 -> OK
Line 1115: 1540,1045 -> OK
Line 1116: 1814,638 -> OK
Line 1117: 74,580 -> OK
Line 1118: 1784,1454 -> OK
Line 1119: 1808,945 -> OK
Line 1120: 1808,1439 -> OK
Line 1121: 628,1264 -> OK
Line 1122: 682,416 -> OK
Line 1123: 1806,1447 -> OK
Line 1124: 78,610 -> OK
Line 1125: 682,809 -> OK
Line 1126: 1788,1159 -> OK
Line 1127: 1366,1104 -> OK
Line 1128: 1808,942 -> OK
Line 1129: 74,431 -> OK
Line 1130: 104,524 -> OK
Line 1131: 568,731 -> OK
Line 1132: 514,532 -> OK
Line 1133: 1252,781 -> OK
Line 1134: 1540,1442 -> OK
Line 1135: 1784,1296 -> OK
Line 1136: 1802,1442 -> OK
Line 1137: 1812,1279 -> OK
Line 1138: 1806,1292 -> OK
Line 1139: 286,1296 -> OK
Line 1140: 1790,930 -> OK
Line 1141: 1802,417 -> OK
Line 1142: 1790,1443 -> OK
Line 1143: 102,600 -> OK
Line 1144: 1782,1441 -> OK
Line 1145: 1796,1399 -> OK
Line 1146: 856,592 -> OK
Line 1147: 90,582 -> OK
Line 1148: 682,634 -> OK
Line 1149: 856,751 -> OK
Line 1150: 84,809 -> OK
Line 1151: 682,862 -> OK
Line 1152: 1808,1109 -> OK
Line 1153: 84,419 -> OK
Line 1154: 1782,1330 -> OK
Line 1155: 1802,1399 -> OK
Line 1156: 1812,882 -> OK
Line 1157: 1772,1091 -> OK
Line 1158: 1790,1463 -> OK
Line 1159: 1800,1463 -> OK
Line 1160: 628,499 -> OK
Line 1161: 78,540 -> OK
Line 1162: 1788,1271 -> OK
Line 1163: 1776,1279 -> OK
Line 1164: 1024,925 -> OK
Line 1165: 1024,996 -> OK
Line 1166: 78,503 -> OK
Line 1167: 1794,809 -> OK
Line 1168: 80,548 -> OK
Line 1169: 514,670 -> OK
Line 1170: 92,444 -> OK
Line 1171: 72,411 -> OK
Line 1172: 1594,958 -> OK
Line 1173: 78,475 -> OK
Line 1174: 1778,1119 -> OK
Line 1175: 72,413 -> OK
Line 1176: 1800,1263 -> OK
Line 1177: 1818,1204 -> OK
Line 1178: 68,594 -> OK
Line 1179: 1818,1284 -> OK
Line 1180: 1788,1240 -> OK
Line 1181: 98,479 -> OK
Line 1182: 568,666 -> OK
Line 1183: 1540,1295 -> OK
Line 1184: 1802,1442 -> OK
Line 1185: 78,980 -> OK
Line 1186: 1800,1113 -> OK
Line 1187: 286,487 -> OK
Line 1188: 1312,1442 -> OK
Line 1189: 86,408 -> OK
Line 1190: 1776,1441 -> OK
Line 1191: 1198,1354 -> OK
Line 1192: 568,670 -> OK
Line 1193: 1800,1455 -> OK
Line 1194: 68,407 -> OK
Line 1195: 1198,1282 -> OK
Line 1196: 1776,1379 -> OK
Line 1197: 78,1100 -> OK
Line 1198: 74,407 -> OK
Line 1199: 80,408 -> OK
Line 1200: 286,1045 -> OK
Line 1201: 1788,1104 -> OK
Line 1202: 1540,1438 -> OK
Line 1203: 856,614 -> OK
Line 1204: 568,560 -> OK
Line 1205: 1794,1466 -> OK
Line 1206: 1790,1099 -> OK
Line 1207: 1312,1415 -> OK
Line 1208: 1790,1455 -> OK
Line 1209: 102,463 -> OK
Line 1210: 84,599 -> OK
Line 1211: 1800,1461 -> OK
Line 1212: 1796,1267 -> OK
Line 1213: 68,441 -> OK
Line 1214: 68,882 -> OK
Line 1215: 1818,870 -> OK
Line 1216: 1806,1470 -> OK
Line 1217: 1818,1457 -> OK
Line 1218: 1808,1244 -> OK
Line 1219: 98,532 -> OK
Line 1220: 98,711 -> OK
Line 1221: 1794,1288 -> OK
Line 1222: 96,1016 -> OK
Line 1223: 66,1236 -> OK
Line 1224: 102,435 -> OK
Line 1225: 66,556 -> OK
Line 1226: 1366,1461 -> OK
Line 1227: 1594,1266 -> OK
Line 1228: 1794,1411 -> OK
Line 1229: 910,1354 -> OK
Line 1230: 1594,1103 -> OK
Line 1231: 102,805 -> OK
Line 1232: 68,952 -> OK
Line 1233: 68,1450 -> OK
Line 1234: 90,785 -> OK
Line 1235: 1806,495 -> OK
Line 1236: 1788,766 -> OK
Line 1237: 1252,920 -> OK
Line 1238: 1778,954 -> OK
Line 1239: 1800,1395 -> OK
Line 1240: 1806,1274 -> OK
Line 1241: 1814,1296 -> OK
Line 1242: 1796,1107 -> OK
Line 1243: 1024,596 -> OK
Line 1244: 340,638 -> OK
Line 1245: 1796,1470 -> OK
Line 1246: 62,552 -> OK
Line 1247: 84,582 -> OK
Line 1248: 514,1012 -> OK
Line 1249: 104,1387 -> OK
Line 1250: 1808,992 -> OK
Line 1251: 1540,1445 -> OK
Line 1252: 108,479 -> OK
Line 1253: 856,841 -> OK
Line 1254: 1778,1439 -> OK
Line 1255: 1772,1120 -> OK
Line 1256: 1796,1236 -> OK
Line 1257: 340,431 -> OK
Line 1258: 1808,1171 -> OK
Line 1259: 98,703 -> OK
Line 1260: 62,441 -> OK
Line 1261: 286,894 -> OK
Line 1262: 628,870 -> OK
Line 1263: 1776,821 -> OK
Line 1264: 96,1123 -> OK
Line 1265: 1790,1455 -> OK
Line 1266: 568,435 -> OK
Line 1267: 340,638 -> OK
Line 1268: 628,599 -> OK
Line 1269: 856,845 -> OK
Line 1270: 1794,1296 -> OK
Line 1271: 1794,1454 -> OK
Line 1272: 1776,592 -> OK
Line 1273: 1024,1290 -> OK
Line 1274: 92,1049 -> OK
Line 1275: 1814,1119 -> OK
Line 1276: 1808,1318 -> OK
Line 1277: 1784,1326 -> OK
Line 1278: 86,614 -> OK
Line 1279: 84,578 -> OK
Line 1280: 62,654 -> OK
Line 1281: 1782,1096 -> OK
Line 1282: 1782,866 -> OK
Line 1283: 1252,952 -> OK
Line 1284: 78,415 -> OK
Line 1285: 66,829 -> OK
Line 1286: 286,431 -> OK
Line 1287: 1782,1458 -> OK
Line 1288: 1776,707 -> OK
Line 1289: 1790,1175 -> OK
Line 1290: 1802,731 -> OK
Line 1291: 286,715 -> OK
Line 1292: 1790,445 -> OK
Line 1293: 1790,436 -> OK
Line 1294: 96,878 -> OK
Line 1295: 1800,1465 -> OK
Line 1296: 1814,1049 -> OK
Line 1297: 80,409 -> OK
Line 1298: 1776,1244 -> OK
Line 1299: 1812,1115 -> OK
Line 1300: 1790,1435 -> OK
Line 1301: 1366,1399 -> OK
Line 1302: 1818,775 -> OK
Line 1303: 108,503 -> OK
Line 1304: 104,666 -> OK
Line 1305: 92,785 -> OK
Line 1306: 286,638 -> OK
Line 1307: 1776,634 -> OK
Line 1308: 1788,1455 -> OK
Line 1309: 1812,1151 -> OK
Line 1310: 80,607 -> OK
Line 1311: 1198,1266 -> OK
Line 1312: 68,435 -> OK
Line 1313: 104,638 -> OK
Line 1314: 92,412 -> OK
Line 1315: 1806,1334 -> OK
Line 1316: 90,1403 -> OK
Line 1317: 1778,1113 -> OK
Line 1318: 1818,1466 -> OK
Line 1319: 1540,1411 -> OK
Line 1320: 104,634 -> OK
Line 1321: 1812,984 -> OK
Line 1322: 1594,934 -> OK
Line 1323: 62,1272 -> OK
Line 1324: 568,638 -> OK
Line 1325: 856,753 -> OK
Line 1326: 1814,1268 -> OK
Line 1327: 970,874 -> OK
Line 1328: 1800,1272 -> OK
Line 1329: 568,540 -> OK
Line 1330: 74,503 -> OK
Line 1331: 62,487 -> OK
Line 1332: 970,1016 -> OK
Line 1333: 1540,1175 -> OK
Line 1334: 72,439 -> OK
Line 1335: 80,1407 -> OK
Line 1336: 1790,882 -> OK
Line 1337: 90,817 -> OK
Line 1338: 68,429 -> OK
Line 1339: 1778,950 -> OK
Line 1340: 1782,1107 -> OK
Line 1341: 108,592 -> OK
Line 1342: 1312,1244 -> OK
Line 1343: 1790,1346 -> OK
Line 1344: 568,773 -> OK
Line 1345: 1788,1291 -> OK
Line 1346: 1366,1403 -> OK
Line 1347: 682,1322 -> OK
Line 1348: 286,579 -> OK
Line 1349: 340,608 -> OK
Line 1350: 102,544 -> OK
Line 1351: 286,1283 -> OK
Line 1352: 98,419 -> OK
Line 1353: 514,762 -> OK
Line 1354: 1024,1016 -> OK
Line 1355: 68,536 -> OK
Line 1356: 1802,1442 -> OK
Line 1357: 286,805 -> OK
Line 1358: 92,552 -> OK
Line 1359: 66,407 -> OK
Line 1360: 340,1379 -> OK
Line 1361: 1782,1287 -> OK
Line 1362: 1252,1282 -> OK
Line 1363: 286,1463 -> OK
Line 1364: 1540,1279 -> OK
Line 1365: 92,445 -> OK
Line 1366: 910,437 -> OK
Line 1367: 74,503 -> OK
Line 1368: 1794,1435 -> OK
Line 1369: 68,578 -> OK
Line 1370: 1812,1395 -> OK
Line 1371: 1024,727 -> OK
Line 1372: 1800,1411 -> OK
Line 1373: 1366,805 -> OK
Line 1374: 1594,1454 -> OK
Line 1375: 108,1342 -> OK
Line 1376: 66,528 -> OK
Line 1377: 90,782 -> OK
Line 1378: 568,423 -> OK
Line 1379: 108,769 -> OK
Line 1380: 856,753 -> OK
Line 1381: 80,1037 -> OK
Line 1382: 1024,1147 -> OK
Line 1383: 1812,586 -> OK
Line 1384: 1796,953 -> OK
Line 1385: 910,1391 -> OK
Line 1386: 92,491 -> OK
Line 1387: 78,408 -> OK
Line 1388: 514,610 -> OK
Line 1389: 1772,1442 -> OK
Line 1390: 66,731 -> OK
Line 1391: 1024,1033 -> OK
Line 1392: 1366,425 -> OK
Line 1393: 1800,1441 -> OK
Line 1394: 1790,1434 -> OK
Line 1395: 1776,1275 -> OK
Line 1396: 90,420 -> OK
Line 1397: 102,614 -> OK
Line 1398: 1778,1403 -> OK
Line 1399: 62,427 -> OK
Line 1400: 1806,409 -> OK
Line 1401: 1252,1057 -> OK
Line 1402: 1772,715 -> OK
Line 1403: 1800,1471 -> OK
Line 1404: 66,503 -> OK
Line 1405: 1366,1124 -> OK
Line 1406: 1312,415 -> OK
Line 1407: 1818,1387 -> OK
Line 1408: 1366,1342 -> OK
Line 1409: 108,1268 -> OK
Line 1410: 568,579 -> OK
Line 1411: 286,614 -> OK
Line 1412: 78,540 -> OK
Line 1413: 1540,1434 -> OK
Line 1414: 1772,1236 -> OK
Line 1415: 1790,773 -> OK
Line 1416: 98,723 -> OK
Line 1417: 1252,1220 -> OK
Line 1418: 1594,1109 -> OK
Line 1419: 910,778 -> OK
Line 1420: 1788,1326 -> OK
Line 1421: 1812,1338 -> OK
Line 1422: 68,934 -> OK
Line 1423: 1540,1117 -> OK
Line 1424: 1794,1446 -> OK
Line 1425: 1784,1291 -> OK
Line 1426: 970,1108 -> OK
Line 1427: 1252,1283 -> OK
Line 1428: 1808,1041 -> OK
Line 1429: 1778,1346 -> OK
Line 1430: 1802,1208 -> OK
Line 1431: 628,425 -> OK
Line 1432: 340,443 -> OK
Line 1433: 1540,1175 -> OK
Line 1434: 90,544 -> OK
Line 1435: 856,758 -> OK
Line 1436: 98,586 -> OK
Line 1437: 1312,1279 -> OK
Line 1438: 62,642 -> OK
Line 1439: 910,707 -> OK
Line 1440: 856,1117 -> OK
Line 1441: 910,1041 -> OK
Line 1442: 104,441 -> OK
Line 1443: 80,817 -> OK
Line 1444: 910,1224 -> OK
Line 1445: 856,751 -> OK
Line 1446: 1790,1290 -> OK
Line 1447: 72,580 -> OK
Line 1448: 514,1291 -> OK
Line 1449: 1814,1268 -> OK
Line 1450: 856,548 -> OK
Line 1451: 90,423 -> OK
Line 1452: 1594,1268 -> OK
Line 1453: 108,1037 -> OK
Line 1454: 108,467 -> OK
Line 1455: 514,479 -> OK
Line 1456: 1366,1232 -> OK
Line 1457: 1812,1119 -> OK
Line 1458: 84,415 -> OK
Line 1459: 1808,1403 -> OK
Line 1460: 92,1463 -> OK
Line 1461: 286,1004 -> OK
Line 1462: 1790,536 -> OK
Line 1463: 1252,1049 -> OK
Line 1464: 84,578 -> OK
Line 1465: 514,711 -> OK
Line 1466: 1802,638 -> OK
Line 1467: 92,1322 -> OK
Line 1468: 98,1244 -> OK
Line 1469: 1312,1407 -> OK
Line 1470: 86,425 -> OK
Line 1471: 1818,1262 -> OK
Line 1472: 1818,759 -> OK
Line 1473: 74,1461 -> OK
Line 1474: 1366,1298 -> OK
Line 1475: 1806,1395 -> OK
Line 1476: 108,594 -> OK
Line 1477: 910,1045 -> OK
Line 1478: 1252,1049 -> OK
Line 1479: 514,1012 -> OK
Line 1480: 910,774 -> OK
Line 1481: 1812,1442 -> OK
Line 1482: 1198,932 -> OK
Line 1483: 1782,1216 -> OK
Line 1484: 96,976 -> OK
Line 1485: 970,440 -> OK
Line 1486: 1312,1147 -> OK
Line 1487: 1540,1267 -> OK
Line 1488: 514,711 -> OK
Line 1489: 1772,1108 -> OK
Line 1490: 568,1069 -> OK
Line 1491: 514,423 -> OK
Line 1492: 104,416 -> OK
Line 1493: 90,765 -> OK
Line 1494: 1818,1435 -> OK
Line 1495: 910,1000 -> OK
Line 1496: 104,930 -> OK
Line 1497: 286,1379 -> OK
Line 1498: 72,444 -> OK
Line 1499: 1252,1283 -> OK
Line 1500: 84,769 -> OK
Line 1501: 1802,1322 -> OK
Line 1502: 1366,1097 -> OK
Line 1503: 66,727 -> OK
Line 1504: 1808,1350 -> OK
Line 1505: 1794,416 -> OK
Line 1506: 96,591 -> OK
Line 1507: 1782,1462 -> OK
Line 1508: 340,809 -> OK
Line 1509: 92,560 -> OK
Line 1510: 1366,1041 -> OK
Line 1511: 856,614 -> OK
Line 1512: 1812,1433 -> OK
Line 1513: 78,779 -> OK
Line 1514: 84,475 -> OK
Line 1515: 1796,1216 -> OK
Line 1516: 1540,1457 -> OK
Line 1517: 1800,1271 -> OK
Line 1518: 108,425 -> OK
Line 1519: 66,608 -> OK
Line 1520: 1806,1113 -> OK
Line 1521: 1806,1099 -> OK
Line 1522: 340,435 -> OK
Line 1523: 970,1105 -> OK
Line 1524: 98,416 -> OK
Line 1525: 1312,1342 -> OK
Line 1526: 86,1107 -> OK
Line 1527: 910,929 -> OK
Line 1528: 1778,419 -> OK
Line 1529: 1776,524 -> OK
Line 1530: 1818,1465 -> OK
Line 1531: 1594,1395 -> OK
Line 1532: 62,658 -> OK
Line 1533: 910,845 -> OK
Line 1534: 90,654 -> OK
Line 1535: 68,439 -> OK
Line 1536: 84,614 -> OK
Line 1537: 1782,1458 -> OK
Line 1538: 910,1467 -> OK
Line 1539: 66,439 -> OK
Line 1540: 80,436 -> OK
Line 1541: 1818,1290 -> OK
Line 1542: 1808,1287 -> OK
Line 1543: 78,610 -> OK
Line 1544: 1796,1458 -> OK
Line 1545: 80,1383 -> OK
Line 1546: 568,615 -> OK
Line 1547: 1594,1457 -> OK
Line 1548: 682,1278 -> OK
Line 1549: 74,769 -> OK
Line 1550: 62,552 -> OK
Line 1551: 1776,1283 -> OK
Line 1552: 1366,606 -> OK
Line 1553: 1790,1073 -> OK
Line 1554: 1776,785 -> OK
Line 1555: 78,1446 -> OK
Line 1556: 1784,1262 -> OK
Line 1557: 1252,650 -> OK
Line 1558: 1812,1282 -> OK
Line 1559: 96,419 -> OK
Line 1560: 970,785 -> OK
Line 1561: 62,950 -> OK
Line 1562: 568,992 -> OK
Line 1563: 90,586 -> OK
Line 1564: 108,440 -> OK
Line 1565: 98,1120 -> OK
Line 1566: 970,658 -> OK
Line 1567: 108,1204 -> OK
Line 1568: 1252,584 -> OK
Line 1569: 628,984 -> OK
Line 1570: 1772,1113 -> OK
Line 1571: 98,715 -> OK
Line 1572: 62,560 -> OK
Line 1573: 1818,1008 -> OK
Line 1574: 1802,479 -> OK
Line 1575: 1788,1399 -> OK
Line 1576: 514,1187 -> OK
Line 1577: 74,1268 -> OK
Line 1578: 1818,1459 -> OK
Line 1579: 68,441 -> OK
Line 1580: 102,759 -> OK
Line 1581: 910,583 -> OK
Line 1582: 1776,786 -> OK
Line 1583: 1252,1271 -> OK
Line 1584: 72,433 -> OK
Line 1585: 1788,1457 -> OK
Line 1586: 1818,1395 -> OK
Line 1587: 84,584 -> OK
Line 1588: 1198,1280 -> OK
Line 1589: 96,587 -> OK
Line 1590: 96,650 -> OK
Line 1591: 514,940 -> OK
Line 1592: 68,1053 -> OK
Line 1593: 1782,1461 -> OK
Line 1594: 286,941 -> OK
Line 1595: 1794,1441 -> OK
Line 1596: 96,560 -> OK
Line 1597: 68,432 -> OK
Line 1598: 78,638 -> OK
Line 1599: 84,749 -> OK
Line 1600: 1800,1326 -> OK
Line 1601: 80,707 -> OK
Line 1602: 286,429 -> OK
Line 1603: 1540,1318 -> OK
Line 1604: 84,520 -> OK
Line 1605: 856,1053 -> OK
Line 1606: 910,936 -> OK
Line 1607: 1312,1469 -> OK
Line 1608: 1772,580 -> OK
Line 1609: 104,670 -> OK
Line 1610: 78,437 -> OK
Line 1611: 1794,1167 -> OK
Line 1612: 90,425 -> OK
Line 1613: 286,444 -> OK
Line 1614: 628,761 -> OK
Line 1615: 84,610 -> OK
Line 1616: 568,924 -> OK
Line 1617: 1366,1330 -> OK
Line 1618: 1788,775 -> OK
Line 1619: 72,638 -> OK
Line 1620: 68,595 -> OK
Line 1621: 970,958 -> OK
Line 1622: 62,755 -> OK
Line 1623: 90,1123 -> OK
Line 1624: 108,407 -> OK
Line 1625: 1806,1434 -> OK
Line 1626: 286,809 -> OK
Line 1627: 104,1407 -> OK
Line 1628: 1800,1284 -> OK
Line 1629: 104,413 -> OK
Line 1630: 286,658 -> OK
Line 1631: 1806,1439 -> OK
Line 1632: 86,487 -> OK
Line 1633: 1808,1103 -> OK
Line 1634: 286,809 -> OK
Line 1635: 1802,1407 -> OK
Line 1636: 104,1240 -> OK
Line 1637: 1788,1300 -> OK
Line 1638: 92,1123 -> OK
Line 1639: 72,603 -> OK
Line 1640: 1794,1330 -> OK
Line 1641: 1782,1295 -> OK
Line 1642: 1782,1290 -> OK
Line 1643: 62,950 -> OK
Line 1644: 1594,1286 -> OK
Line 1645: 90,524 -> OK
Line 1646: 96,1049 -> OK
Line 1647: 1814,934 -> OK
Line 1648: 682,1334 -> OK
Line 1649: 1800,957 -> OK
Line 1650: 910,420 -> OK
Line 1651: 286,1240 -> OK
Line 1652: 1540,1342 -> OK
Line 1653: 1794,578 -> OK
Line 1654: 1796,1399 -> OK
Line 1655: 74,413 -> OK
Line 1656: 1802,1375 -> OK
Line 1657: 92,1108 -> OK
Line 1658: 1800,1163 -> OK
Line 1659: 910,805 -> OK
Line 1660: 910,774 -> OK
Line 1661: 1812,1151 -> OK
Line 1662: 102,596 -> OK
Line 1663: 514,598 -> OK
Line 1664: 104,762 -> OK
Line 1665: 102,437 -> OK
Line 1666: 104,996 -> OK
Line 1667: 1802,1338 -> OK
Line 1668: 568,766 -> OK
Line 1669: 66,594 -> OK
Line 1670: 568,674 -> OK
Line 1671: 910,781 -> OK
Line 1672: 78,433 -> OK
Line 1673: 1312,950 -> OK
Line 1674: 1802,1342 -> OK
Line 1675: 1806,1283 -> OK
Line 1676: 68,599 -> OK
Line 1677: 102,463 -> OK
Line 1678: 970,1069 -> OK
Line 1679: 80,1266 -> OK
Line 1680: 340,1407 -> OK
Line 1681: 1252,941 -> OK
Line 1682: 568,594 -> OK
Line 1683: 1794,1268 -> OK
Line 1684: 98,1097 -> OK
Line 1685: 108,499 -> OK
Line 1686: 1790,1461 -> OK
Line 1687: 568,926 -> OK
Line 1688: 910,938 -> OK
Line 1689: 86,662 -> OK
Line 1690: 90,749 -> OK
Line 1691: 568,495 -> OK
Line 1692: 68,407 -> OK
Line 1693: 1252,921 -> OK
Line 1694: 1252,1212 -> OK
Line 1695: 98,1447 -> OK
Line 1696: 86,552 -> OK
Line 1697: 78,607 -> OK
Line 1698: 514,1179 -> OK
Line 1699: 910,1240 -> OK
Line 1700: 104,528 -> OK
Line 1701: 628,1346 -> OK
Line 1702: 80,611 -> OK
Line 1703: 66,638 -> OK
Line 1704: 910,1107 -> OK
Line 1705: 682,751 -> OK
Line 1706: 1594,773 -> OK
Line 1707: 1784,1228 -> OK
Line 1708: 1312,427 -> OK
Line 1709: 568,560 -> OK
